Date,Rainfall_mm,Soil_Moisture,Risk_Level,DISTRICT,YEAR
2010-03-14,0.0,0.253,Low,UDUPI,2010
2010-03-15,0.0,0.253,Low,UDUPI,2010
2010-03-16,0.0,0.253,Low,UDUPI,2010
2010-03-17,0.0,0.253,Low,UDUPI,2010
2010-03-18,0.0,0.253,Low,UDUPI,2010
2010-03-19,0.0,0.253,Low,UDUPI,2010
2010-03-20,0.0,0.253,Low,UDUPI,2010
2010-03-21,0.0,0.253,Low,UDUPI,2010
2010-03-22,0.0,0.253,Low,UDUPI,2010
2010-03-23,0.0,0.253,Low,UDUPI,2010
2010-03-24,0.0,0.253,Low,UDUPI,2010
2010-03-25,0.0,0.254,Low,UDUPI,2010
2010-03-26,0.0,0.253,Low,UDUPI,2010
2010-03-27,0.0,0.254,Low,UDUPI,2010
2010-03-28,0.0,0.255,Low,UDUPI,2010
2010-03-29,0.6,0.257,Low,UDUPI,2010
2010-03-30,0.0,0.26,Low,UDUPI,2010
2010-03-31,0.0,0.259,Low,UDUPI,2010
2010-04-01,0.0,0.258,Low,UDUPI,2010
2010-04-02,0.0,0.257,Low,UDUPI,2010
2010-04-03,0.0,0.256,Low,UDUPI,2010
2010-04-04,0.0,0.255,Low,UDUPI,2010
2010-04-05,0.0,0.256,Low,UDUPI,2010
2010-04-06,0.0,0.255,Low,UDUPI,2010
2010-04-07,0.0,0.255,Low,UDUPI,2010
2010-04-08,0.0,0.254,Low,UDUPI,2010
2010-04-09,0.1,0.256,Low,UDUPI,2010
2010-04-10,0.0,0.257,Low,UDUPI,2010
2010-04-11,0.0,0.256,Low,UDUPI,2010
2010-04-12,0.0,0.256,Low,UDUPI,2010
2010-04-13,0.0,0.255,Low,UDUPI,2010
2010-04-14,0.0,0.255,Low,UDUPI,2010
2010-04-15,0.4,0.255,Low,UDUPI,2010
2010-04-16,0.0,0.256,Low,UDUPI,2010
2010-04-17,0.4,0.258,Low,UDUPI,2010
2010-04-18,6.0,0.289,Low,UDUPI,2010
2010-04-19,10.6,0.359,Low,UDUPI,2010
2010-04-20,0.0,0.364,Low,UDUPI,2010
2010-04-21,0.0,0.343,Low,UDUPI,2010
2010-04-22,0.0,0.326,Low,UDUPI,2010
2010-04-23,0.0,0.313,Low,UDUPI,2010
2010-04-24,5.8,0.33,Low,UDUPI,2010
2010-04-25,2.1,0.349,Low,UDUPI,2010
2010-04-26,0.9,0.336,Low,UDUPI,2010
2010-04-27,5.0,0.346,Low,UDUPI,2010
2010-04-28,2.5,0.4,Low,UDUPI,2010
2010-04-29,0.0,0.375,Low,UDUPI,2010
2010-04-30,7.7,0.433,Low,UDUPI,2010
2010-05-01,1.1,0.41,Low,UDUPI,2010
2010-05-02,4.3,0.406,Low,UDUPI,2010
2010-05-03,3.9,0.418,Low,UDUPI,2010
2010-05-04,2.0,0.399,Low,UDUPI,2010
2010-05-05,2.5,0.391,Low,UDUPI,2010
2010-05-06,0.0,0.383,Low,UDUPI,2010
2010-05-07,0.2,0.361,Low,UDUPI,2010
2010-05-08,2.8,0.355,Low,UDUPI,2010
2010-05-09,2.2,0.354,Low,UDUPI,2010
2010-05-10,0.0,0.358,Low,UDUPI,2010
2010-05-11,0.2,0.345,Low,UDUPI,2010
2010-05-12,0.0,0.332,Low,UDUPI,2010
2010-05-13,0.0,0.319,Low,UDUPI,2010
2010-05-14,0.0,0.307,Low,UDUPI,2010
2010-05-15,0.0,0.298,Low,UDUPI,2010
2010-05-16,0.1,0.293,Low,UDUPI,2010
2010-05-17,1.3,0.294,Low,UDUPI,2010
2010-05-18,0.6,0.294,Low,UDUPI,2010
2010-05-19,5.9,0.32,Low,UDUPI,2010
2010-05-20,3.4,0.344,Low,UDUPI,2010
2010-05-21,4.4,0.363,Low,UDUPI,2010
2010-05-22,2.5,0.373,Low,UDUPI,2010
2010-05-23,2.1,0.369,Low,UDUPI,2010
2010-05-24,2.3,0.38,Low,UDUPI,2010
2010-05-25,4.2,0.388,Low,UDUPI,2010
2010-05-26,3.7,0.405,Low,UDUPI,2010
2010-05-27,0.6,0.393,Low,UDUPI,2010
2010-05-28,2.8,0.385,Low,UDUPI,2010
2010-05-29,1.3,0.375,Low,UDUPI,2010
2010-05-30,13.1,0.405,Low,UDUPI,2010
2010-05-31,11.8,0.478,Low,UDUPI,2010
2010-06-01,1.1,0.442,Low,UDUPI,2010
2010-06-02,5.9,0.437,Low,UDUPI,2010
2010-06-03,6.1,0.449,Low,UDUPI,2010
2010-06-04,7.0,0.44,Low,UDUPI,2010
2010-06-05,7.1,0.449,Low,UDUPI,2010
2010-06-06,11.8,0.462,Low,UDUPI,2010
2010-06-07,17.9,0.478,Low,UDUPI,2010
2010-06-08,17.0,0.482,Low,UDUPI,2010
2010-06-09,12.9,0.488,Low,UDUPI,2010
2010-06-10,14.9,0.49,Low,UDUPI,2010
2010-06-11,39.1,0.458,Low,UDUPI,2010
2010-06-12,56.5,0.474,Medium,UDUPI,2010
2010-06-13,76.8,0.482,High,UDUPI,2010
2010-06-14,54.5,0.482,Medium,UDUPI,2010
2010-06-15,51.9,0.491,Medium,UDUPI,2010
2010-06-16,12.6,0.486,Low,UDUPI,2010
2010-06-17,23.4,0.476,Low,UDUPI,2010
2010-06-18,22.9,0.484,Low,UDUPI,2010
2010-06-19,25.2,0.48,Low,UDUPI,2010
2010-06-20,8.4,0.491,Low,UDUPI,2010
2010-06-21,1.3,0.476,Low,UDUPI,2010
2010-06-22,10.2,0.475,Low,UDUPI,2010
2010-06-23,29.3,0.484,Low,UDUPI,2010
2010-06-24,41.9,0.493,Medium,UDUPI,2010
2010-06-25,74.6,0.483,High,UDUPI,2010
2010-06-26,46.8,0.471,Medium,UDUPI,2010
2010-06-27,11.0,0.478,Low,UDUPI,2010
2010-06-28,7.4,0.491,Low,UDUPI,2010
2010-06-29,4.8,0.498,Low,UDUPI,2010
2010-06-30,24.0,0.482,Low,UDUPI,2010
2010-07-01,56.5,0.48,Medium,UDUPI,2010
2010-07-02,56.2,0.48,Medium,UDUPI,2010
2010-07-03,48.7,0.477,Medium,UDUPI,2010
2010-07-04,26.4,0.484,Low,UDUPI,2010
2010-07-05,60.0,0.474,Medium,UDUPI,2010
2010-07-06,14.0,0.499,Low,UDUPI,2010
2010-07-07,18.3,0.474,Low,UDUPI,2010
2010-07-08,9.9,0.475,Low,UDUPI,2010
2010-07-09,4.0,0.478,Low,UDUPI,2010
2010-07-10,1.8,0.475,Low,UDUPI,2010
2010-07-11,3.7,0.47,Low,UDUPI,2010
2010-07-12,8.0,0.477,Low,UDUPI,2010
2010-07-13,5.7,0.487,Low,UDUPI,2010
2010-07-14,6.9,0.497,Low,UDUPI,2010
2010-07-15,22.1,0.479,Low,UDUPI,2010
2010-07-16,51.9,0.486,Medium,UDUPI,2010
2010-07-17,59.3,0.481,Medium,UDUPI,2010
2010-07-18,46.2,0.476,Medium,UDUPI,2010
2010-07-19,77.8,0.482,High,UDUPI,2010
2010-07-20,66.1,0.482,High,UDUPI,2010
2010-07-21,39.5,0.481,Low,UDUPI,2010
2010-07-22,24.8,0.476,Low,UDUPI,2010
2010-07-23,16.1,0.482,Low,UDUPI,2010
2010-07-24,17.1,0.478,Low,UDUPI,2010
2010-07-25,36.8,0.487,Low,UDUPI,2010
2010-07-26,28.1,0.489,Low,UDUPI,2010
2010-07-27,34.7,0.467,Low,UDUPI,2010
2010-07-28,27.3,0.491,Low,UDUPI,2010
2010-07-29,34.7,0.48,Low,UDUPI,2010
2010-07-30,53.4,0.473,Medium,UDUPI,2010
2010-07-31,38.0,0.476,Low,UDUPI,2010
2010-08-01,21.9,0.469,Low,UDUPI,2010
2010-08-02,14.4,0.493,Low,UDUPI,2010
2010-08-03,38.1,0.481,Low,UDUPI,2010
2010-08-04,24.6,0.475,Low,UDUPI,2010
2010-08-05,5.9,0.493,Low,UDUPI,2010
2010-08-06,7.6,0.483,Low,UDUPI,2010
2010-08-07,24.5,0.471,Low,UDUPI,2010
2010-08-08,10.4,0.498,Low,UDUPI,2010
2010-08-09,12.2,0.467,Low,UDUPI,2010
2010-08-10,4.6,0.488,Low,UDUPI,2010
2010-08-11,7.0,0.499,Low,UDUPI,2010
2010-08-12,19.0,0.48,Low,UDUPI,2010
2010-08-13,16.7,0.488,Low,UDUPI,2010
2010-08-14,14.4,0.496,Low,UDUPI,2010
2010-08-15,17.6,0.484,Low,UDUPI,2010
2010-08-16,55.5,0.484,Medium,UDUPI,2010
2010-08-17,50.5,0.489,Medium,UDUPI,2010
2010-08-18,28.3,0.476,Low,UDUPI,2010
2010-08-19,2.4,0.49,Low,UDUPI,2010
2010-08-20,10.2,0.476,Low,UDUPI,2010
2010-08-21,17.0,0.482,Low,UDUPI,2010
2010-08-22,14.7,0.487,Low,UDUPI,2010
2010-08-23,15.3,0.484,Low,UDUPI,2010
2010-08-24,16.4,0.479,Low,UDUPI,2010
2010-08-25,47.3,0.477,Medium,UDUPI,2010
2010-08-26,68.3,0.483,High,UDUPI,2010
2010-08-27,72.2,0.483,High,UDUPI,2010
2010-08-28,22.8,0.481,Low,UDUPI,2010
2010-08-29,16.2,0.485,Low,UDUPI,2010
2010-08-30,28.2,0.468,Low,UDUPI,2010
2010-08-31,15.3,0.491,Low,UDUPI,2010
2010-09-01,7.6,0.509,Low,UDUPI,2010
2010-09-02,5.8,0.505,Low,UDUPI,2010
2010-09-03,5.6,0.499,Low,UDUPI,2010
2010-09-04,12.6,0.478,Low,UDUPI,2010
2010-09-05,8.9,0.499,Low,UDUPI,2010
2010-09-06,17.3,0.46,Low,UDUPI,2010
2010-09-07,23.1,0.481,Low,UDUPI,2010
2010-09-08,21.5,0.481,Low,UDUPI,2010
2010-09-09,16.0,0.487,Low,UDUPI,2010
2010-09-10,16.5,0.491,Low,UDUPI,2010
2010-09-11,9.7,0.471,Low,UDUPI,2010
2010-09-12,6.0,0.474,Low,UDUPI,2010
2010-09-13,11.7,0.505,Low,UDUPI,2010
2010-09-14,11.8,0.482,Low,UDUPI,2010
2010-09-15,19.6,0.484,Low,UDUPI,2010
2010-09-16,8.1,0.46,Low,UDUPI,2010
2010-09-17,2.5,0.467,Low,UDUPI,2010
2010-09-18,3.0,0.481,Low,UDUPI,2010
2010-09-19,2.0,0.482,Low,UDUPI,2010
2010-09-20,2.0,0.477,Low,UDUPI,2010
2010-09-21,0.0,0.461,Low,UDUPI,2010
2010-09-22,2.0,0.457,Low,UDUPI,2010
2010-09-23,3.5,0.45,Low,UDUPI,2010
2010-09-24,17.4,0.484,Low,UDUPI,2010
2010-09-25,2.7,0.481,Low,UDUPI,2010
2010-09-26,0.6,0.478,Low,UDUPI,2010
2010-09-27,16.6,0.487,Low,UDUPI,2010
2010-09-28,8.1,0.483,Low,UDUPI,2010
2010-09-29,9.1,0.474,Low,UDUPI,2010
2010-09-30,35.5,0.463,Low,UDUPI,2010
2010-10-01,6.8,0.471,Low,UDUPI,2010
2010-10-02,17.1,0.476,Low,UDUPI,2010
2010-10-03,3.6,0.484,Low,UDUPI,2010
2010-10-04,9.1,0.481,Low,UDUPI,2010
2010-10-05,2.6,0.46,Low,UDUPI,2010
2010-10-06,8.9,0.487,Low,UDUPI,2010
2010-10-07,5.1,0.49,Low,UDUPI,2010
2010-10-08,1.6,0.474,Low,UDUPI,2010
2010-10-09,1.9,0.478,Low,UDUPI,2010
2010-10-10,1.8,0.475,Low,UDUPI,2010
2010-10-11,1.7,0.465,Low,UDUPI,2010
2010-10-12,1.2,0.461,Low,UDUPI,2010
2010-10-13,9.3,0.473,Low,UDUPI,2010
2010-10-14,25.3,0.465,Low,UDUPI,2010
2010-10-15,5.6,0.496,Low,UDUPI,2010
2010-10-16,3.3,0.496,Low,UDUPI,2010
2010-10-17,3.5,0.498,Low,UDUPI,2010
2010-10-18,4.9,0.501,Low,UDUPI,2010
2010-10-19,3.9,0.498,Low,UDUPI,2010
2010-10-20,9.6,0.481,Low,UDUPI,2010
2010-10-21,20.9,0.473,Low,UDUPI,2010
2010-10-22,23.2,0.496,Low,UDUPI,2010
2010-10-23,24.1,0.482,Low,UDUPI,2010
2010-10-24,1.0,0.476,Low,UDUPI,2010
2010-10-25,0.8,0.468,Low,UDUPI,2010
2010-10-26,0.6,0.457,Low,UDUPI,2010
2010-10-27,6.9,0.48,Low,UDUPI,2010
2010-10-28,0.0,0.472,Low,UDUPI,2010
2010-10-29,0.0,0.451,Low,UDUPI,2010
2010-10-30,1.1,0.437,Low,UDUPI,2010
2010-10-31,11.7,0.481,Low,UDUPI,2010
2010-11-01,7.0,0.487,Low,UDUPI,2010
2010-11-02,3.8,0.485,Low,UDUPI,2010
2010-11-03,9.3,0.487,Low,UDUPI,2010
2010-11-04,2.7,0.478,Low,UDUPI,2010
2010-11-05,6.9,0.488,Low,UDUPI,2010
2010-11-06,11.7,0.486,Low,UDUPI,2010
2010-11-07,0.3,0.488,Low,UDUPI,2010
2010-11-08,52.4,0.493,Medium,UDUPI,2010
2010-11-09,9.6,0.479,Low,UDUPI,2010
2010-11-10,8.0,0.462,Low,UDUPI,2010
2010-11-11,10.1,0.467,Low,UDUPI,2010
2010-11-12,4.1,0.486,Low,UDUPI,2010
2010-11-13,2.7,0.484,Low,UDUPI,2010
2010-11-14,1.0,0.478,Low,UDUPI,2010
2010-11-15,13.6,0.464,Low,UDUPI,2010
2010-11-16,4.3,0.463,Low,UDUPI,2010
2010-11-17,16.0,0.469,Low,UDUPI,2010
2010-11-18,7.2,0.492,Low,UDUPI,2010
2010-11-19,3.6,0.481,Low,UDUPI,2010
2010-11-20,2.6,0.476,Low,UDUPI,2010
2010-11-21,4.8,0.487,Low,UDUPI,2010
2010-11-22,4.6,0.492,Low,UDUPI,2010
2010-11-23,5.1,0.482,Low,UDUPI,2010
2010-11-24,0.8,0.474,Low,UDUPI,2010
2010-11-25,1.5,0.471,Low,UDUPI,2010
2010-11-26,8.3,0.47,Low,UDUPI,2010
2010-11-27,1.8,0.473,Low,UDUPI,2010
2010-11-28,0.0,0.467,Low,UDUPI,2010
2010-11-29,0.0,0.456,Low,UDUPI,2010
2010-11-30,0.0,0.444,Low,UDUPI,2010
2010-12-01,0.3,0.434,Low,UDUPI,2010
2010-12-02,0.3,0.431,Low,UDUPI,2010
2010-12-03,0.0,0.425,Low,UDUPI,2010
2010-12-04,0.0,0.415,Low,UDUPI,2010
2010-12-05,0.0,0.405,Low,UDUPI,2010
2010-12-06,0.0,0.395,Low,UDUPI,2010
2010-12-07,0.0,0.384,Low,UDUPI,2010
2010-12-08,0.0,0.376,Low,UDUPI,2010
2010-12-09,1.1,0.374,Low,UDUPI,2010
2010-12-10,3.2,0.386,Low,UDUPI,2010
2010-12-11,1.1,0.414,Low,UDUPI,2010
2010-12-12,1.0,0.415,Low,UDUPI,2010
2010-12-13,0.0,0.403,Low,UDUPI,2010
2010-12-14,0.0,0.39,Low,UDUPI,2010
2010-12-15,0.0,0.378,Low,UDUPI,2010
2010-12-16,0.9,0.371,Low,UDUPI,2010
2010-12-17,4.2,0.409,Low,UDUPI,2010
2010-12-18,0.0,0.403,Low,UDUPI,2010
2010-12-19,0.0,0.387,Low,UDUPI,2010
2010-12-20,0.0,0.372,Low,UDUPI,2010
2010-12-21,0.0,0.358,Low,UDUPI,2010
2010-12-22,0.0,0.347,Low,UDUPI,2010
2010-12-23,0.0,0.337,Low,UDUPI,2010
2010-12-24,0.0,0.328,Low,UDUPI,2010
2010-12-25,0.0,0.321,Low,UDUPI,2010
2010-12-26,0.0,0.314,Low,UDUPI,2010
2010-12-27,0.7,0.312,Low,UDUPI,2010
2010-12-28,0.0,0.311,Low,UDUPI,2010
2010-12-29,0.0,0.305,Low,UDUPI,2010
2010-12-30,0.0,0.3,Low,UDUPI,2010
2010-12-31,0.0,0.295,Low,UDUPI,2010
2011-01-01,0.0,0.291,Low,UDUPI,2011
2011-01-02,0.0,0.288,Low,UDUPI,2011
2011-01-03,0.0,0.285,Low,UDUPI,2011
2011-01-04,0.0,0.282,Low,UDUPI,2011
2011-01-05,0.0,0.28,Low,UDUPI,2011
2011-01-06,0.0,0.277,Low,UDUPI,2011
2011-01-07,0.0,0.274,Low,UDUPI,2011
2011-01-08,0.0,0.272,Low,UDUPI,2011
2011-01-09,0.0,0.27,Low,UDUPI,2011
2011-01-10,0.0,0.268,Low,UDUPI,2011
2011-01-11,0.0,0.266,Low,UDUPI,2011
2011-01-12,0.0,0.265,Low,UDUPI,2011
2011-01-13,0.0,0.263,Low,UDUPI,2011
2011-01-14,0.0,0.262,Low,UDUPI,2011
2011-01-15,0.0,0.261,Low,UDUPI,2011
2011-01-16,0.0,0.259,Low,UDUPI,2011
2011-01-17,0.0,0.258,Low,UDUPI,2011
2011-01-18,0.0,0.258,Low,UDUPI,2011
2011-01-19,0.0,0.257,Low,UDUPI,2011
2011-01-20,0.0,0.257,Low,UDUPI,2011
2011-01-21,0.0,0.256,Low,UDUPI,2011
2011-01-22,0.0,0.256,Low,UDUPI,2011
2011-01-23,0.0,0.255,Low,UDUPI,2011
2011-01-24,0.0,0.255,Low,UDUPI,2011
2011-01-25,0.0,0.254,Low,UDUPI,2011
2011-01-26,0.0,0.254,Low,UDUPI,2011
2011-01-27,0.0,0.254,Low,UDUPI,2011
2011-01-28,0.0,0.253,Low,UDUPI,2011
2011-01-29,0.0,0.253,Low,UDUPI,2011
2011-01-30,0.0,0.253,Low,UDUPI,2011
2011-01-31,0.0,0.253,Low,UDUPI,2011
2011-02-01,0.0,0.253,Low,UDUPI,2011
2011-02-02,0.0,0.253,Low,UDUPI,2011
2011-02-03,0.0,0.253,Low,UDUPI,2011
2011-02-04,0.0,0.253,Low,UDUPI,2011
2011-02-05,0.0,0.253,Low,UDUPI,2011
2011-02-06,0.0,0.253,Low,UDUPI,2011
2011-02-07,0.0,0.252,Low,UDUPI,2011
2011-02-08,0.0,0.252,Low,UDUPI,2011
2011-02-09,0.0,0.252,Low,UDUPI,2011
2011-02-10,0.0,0.252,Low,UDUPI,2011
2011-02-11,0.0,0.252,Low,UDUPI,2011
2011-02-12,0.0,0.252,Low,UDUPI,2011
2011-02-13,0.0,0.252,Low,UDUPI,2011
2011-02-14,0.0,0.252,Low,UDUPI,2011
2011-02-15,0.0,0.252,Low,UDUPI,2011
2011-02-16,0.0,0.253,Low,UDUPI,2011
2011-02-17,0.0,0.253,Low,UDUPI,2011
2011-02-18,0.0,0.253,Low,UDUPI,2011
2011-02-19,0.0,0.253,Low,UDUPI,2011
2011-02-20,0.0,0.253,Low,UDUPI,2011
2011-02-21,0.0,0.253,Low,UDUPI,2011
2011-02-22,0.0,0.253,Low,UDUPI,2011
2011-02-23,0.0,0.253,Low,UDUPI,2011
2011-02-24,0.0,0.255,Low,UDUPI,2011
2011-02-25,0.0,0.255,Low,UDUPI,2011
2011-02-26,0.0,0.255,Low,UDUPI,2011
2011-02-27,0.0,0.254,Low,UDUPI,2011
2011-02-28,0.0,0.254,Low,UDUPI,2011
2011-03-01,0.0,0.253,Low,UDUPI,2011
2011-03-02,0.0,0.253,Low,UDUPI,2011
2011-03-03,0.0,0.253,Low,UDUPI,2011
2011-03-04,0.0,0.253,Low,UDUPI,2011
2011-03-05,0.0,0.253,Low,UDUPI,2011
2011-03-06,0.0,0.253,Low,UDUPI,2011
2011-03-07,0.0,0.253,Low,UDUPI,2011
2011-03-08,0.0,0.252,Low,UDUPI,2011
2011-03-09,0.0,0.252,Low,UDUPI,2011
2011-03-10,0.0,0.252,Low,UDUPI,2011
2011-03-11,0.0,0.252,Low,UDUPI,2011
2011-03-12,0.0,0.252,Low,UDUPI,2011
2011-03-13,0.2,0.254,Low,UDUPI,2011
2011-03-14,0.0,0.256,Low,UDUPI,2011
2011-03-15,0.3,0.257,Low,UDUPI,2011
2011-03-16,0.8,0.262,Low,UDUPI,2011
2011-03-17,0.0,0.266,Low,UDUPI,2011
2011-03-18,0.0,0.263,Low,UDUPI,2011
2011-03-19,0.0,0.261,Low,UDUPI,2011
2011-03-20,0.0,0.26,Low,UDUPI,2011
2011-03-21,0.0,0.259,Low,UDUPI,2011
2011-03-22,0.0,0.257,Low,UDUPI,2011
2011-03-23,0.0,0.256,Low,UDUPI,2011
2011-03-24,0.0,0.256,Low,UDUPI,2011
2011-03-25,0.0,0.255,Low,UDUPI,2011
2011-03-26,0.0,0.254,Low,UDUPI,2011
2011-03-27,0.0,0.254,Low,UDUPI,2011
2011-03-28,1.3,0.26,Low,UDUPI,2011
2011-03-29,0.9,0.27,Low,UDUPI,2011
2011-03-30,0.0,0.272,Low,UDUPI,2011
2011-03-31,0.3,0.271,Low,UDUPI,2011
2011-04-01,0.3,0.273,Low,UDUPI,2011
2011-04-02,0.0,0.27,Low,UDUPI,2011
2011-04-03,0.0,0.267,Low,UDUPI,2011
2011-04-04,0.0,0.264,Low,UDUPI,2011
2011-04-05,0.0,0.262,Low,UDUPI,2011
2011-04-06,0.0,0.26,Low,UDUPI,2011
2011-04-07,0.0,0.258,Low,UDUPI,2011
2011-04-08,0.0,0.257,Low,UDUPI,2011
2011-04-09,0.0,0.256,Low,UDUPI,2011
2011-04-10,4.1,0.281,Low,UDUPI,2011
2011-04-11,0.0,0.315,Low,UDUPI,2011
2011-04-12,1.5,0.307,Low,UDUPI,2011
2011-04-13,0.0,0.299,Low,UDUPI,2011
2011-04-14,3.4,0.313,Low,UDUPI,2011
2011-04-15,3.5,0.34,Low,UDUPI,2011
2011-04-16,0.0,0.352,Low,UDUPI,2011
2011-04-17,0.0,0.336,Low,UDUPI,2011
2011-04-18,0.5,0.325,Low,UDUPI,2011
2011-04-19,1.0,0.316,Low,UDUPI,2011
2011-04-20,0.9,0.313,Low,UDUPI,2011
2011-04-21,11.0,0.369,Low,UDUPI,2011
2011-04-22,17.9,0.463,Low,UDUPI,2011
2011-04-23,13.9,0.462,Low,UDUPI,2011
2011-04-24,5.0,0.473,Low,UDUPI,2011
2011-04-25,5.4,0.472,Low,UDUPI,2011
2011-04-26,3.1,0.463,Low,UDUPI,2011
2011-04-27,0.0,0.44,Low,UDUPI,2011
2011-04-28,4.4,0.438,Low,UDUPI,2011
2011-04-29,1.3,0.448,Low,UDUPI,2011
2011-04-30,2.9,0.436,Low,UDUPI,2011
2011-05-01,1.8,0.43,Low,UDUPI,2011
2011-05-02,2.6,0.434,Low,UDUPI,2011
2011-05-03,0.6,0.42,Low,UDUPI,2011
2011-05-04,0.0,0.402,Low,UDUPI,2011
2011-05-05,0.0,0.383,Low,UDUPI,2011
2011-05-06,0.0,0.366,Low,UDUPI,2011
2011-05-07,0.3,0.352,Low,UDUPI,2011
2011-05-08,0.0,0.34,Low,UDUPI,2011
2011-05-09,1.6,0.338,Low,UDUPI,2011
2011-05-10,1.9,0.351,Low,UDUPI,2011
2011-05-11,1.9,0.355,Low,UDUPI,2011
2011-05-12,1.3,0.362,Low,UDUPI,2011
2011-05-13,0.0,0.351,Low,UDUPI,2011
2011-05-14,0.8,0.341,Low,UDUPI,2011
2011-05-15,0.3,0.332,Low,UDUPI,2011
2011-05-16,0.0,0.323,Low,UDUPI,2011
2011-05-17,5.2,0.342,Low,UDUPI,2011
2011-05-18,5.2,0.422,Low,UDUPI,2011
2011-05-19,2.2,0.411,Low,UDUPI,2011
2011-05-20,0.0,0.395,Low,UDUPI,2011
2011-05-21,0.5,0.375,Low,UDUPI,2011
2011-05-22,3.8,0.375,Low,UDUPI,2011
2011-05-23,1.3,0.393,Low,UDUPI,2011
2011-05-24,2.3,0.383,Low,UDUPI,2011
2011-05-25,1.0,0.378,Low,UDUPI,2011
2011-05-26,1.3,0.367,Low,UDUPI,2011
2011-05-27,8.5,0.373,Low,UDUPI,2011
2011-05-28,3.2,0.412,Low,UDUPI,2011
2011-05-29,6.4,0.439,Low,UDUPI,2011
2011-05-30,11.3,0.45,Low,UDUPI,2011
